x,y
3.2,NA
3.3,NA
3.3,NA
3.5,NA
3.7,NA
3.8,NA
3.9,NA
4,NA
4,16
4,NA
4.2,4
4.3,NA
4.4,NA
4.4,NA
4.4,3
4.5,NA
4.6,NA
4.7,54
4.7,4
4.7,NA
4.8,NA
4.8,9
4.8,4
4.8,11
4.9,24
4.9,NA
5,NA
5,NA
5,NA
5.1,NA
5.2,3
5.2,37
5.3,NA
5.3,NA
5.3,16
5.4,22
5.4,0
5.5,14
5.5,NA
5.5,52
5.6,16
5.6,7
5.7,10
5.7,3
5.7,NA
5.7,NA
5.8,7
5.8,3
5.8,NA
5.9,5
5.9,6
5.9,3
5.9,41
5.9,NA
5.9,NA
6,36
6,42
6,NA
6,NA
6,NA
6,6
6,9
6,NA
6.1,NA
6.1,0
6.1,NA
6.1,NA
6.1,56
6.2,39
6.2,10
6.2,NA
6.2,NA
6.2,2
6.2,17
6.2,8
6.3,28
6.3,23
6.3,4
6.3,NA
6.3,NA
6.3,NA
6.3,NA
6.4,14
6.4,64
6.4,37
6.4,NA
6.4,NA
6.5,61
6.5,NA
6.5,NA
6.5,NA
6.5,NA
6.5,18
6.5,0
6.5,22
6.5,17
6.6,28
6.6,14
6.6,NA
6.6,2
6.6,8
6.6,22
6.6,9
6.7,53
6.7,56
6.7,NA
6.7,16
6.7,37
6.7,42
6.7,14
6.7,14
6.7,31
6.7,NA
6.7,2
6.7,30
6.7,0
6.7,22
6.8,0
6.8,26
6.8,8
6.8,5
6.8,NA
6.8,NA
6.8,NA
6.8,48
6.9,NA
6.9,85
6.9,NA
6.9,9
6.9,13
6.9,11
6.9,8
6.9,16
7,NA
7,34
7,22
7,NA
7,NA
7,NA
7,NA
7,NA
7,1
7,22
7,NA
7.1,17
7.2,NA
7.2,NA
7.2,23
7.2,10
7.3,23
7.3,22
7.3,NA
7.3,NA
7.3,22
7.3,38
7.3,59
7.4,63
7.4,39
7.4,61
7.4,63
7.4,9
7.4,19
7.5,10
7.5,NA
7.5,55
7.5,NA
7.5,NA
7.5,NA
7.5,1
7.5,15
7.5,17
7.5,NA
7.6,0
7.6,NA
7.7,40
7.7,65
7.7,15
7.7,NA
7.7,NA
7.8,43
7.8,40
7.8,NA
7.8,NA
7.9,35
7.9,32
7.9,17
7.9,NA
8,0
8,50
8,54
8,116
8,87
8.1,21
8.1,141
8.1,NA
8.1,NA
8.2,32
8.2,0
8.2,41
8.2,11
8.2,51
8.2,NA
8.2,NA
8.2,25
8.3,65
8.4,27
8.4,94
8.4,19
8.5,50
8.5,19
8.5,53
8.5,73
8.5,16
8.6,31
8.6,74
8.6,54
8.6,NA
8.6,27
8.7,5
8.7,9
8.7,57
8.7,1
8.7,88
8.7,58
8.9,35
8.9,45
9,9
9,91
9,65
9,61
9.1,17
9.1,36
9.1,28
9.1,NA
9.1,1
9.2,40
9.2,25
9.2,30
9.2,226
9.2,44
9.2,NA
9.4,19
9.4,20
9.4,146
9.4,NA
9.4,47
9.4,51
9.4,NA
9.5,27
9.5,0
9.5,108
9.5,74
9.6,3
9.6,24
9.6,86
9.6,48
9.6,42
9.6,55
9.7,98
9.7,27
9.7,NA
9.7,NA
9.8,46
9.8,114
9.8,78
9.8,NA
9.8,109
9.9,15
9.9,127
10,84
10,37
10,42
10,62
10.1,0
10.1,37
10.1,86
10.1,NA
10.2,66
10.2,54
10.2,33
10.2,NA
10.3,46
10.3,96
10.3,NA
10.4,184
10.5,81
10.6,42
10.6,68
10.6,127
10.6,44
10.6,69
10.7,73
10.7,NA
10.7,NA
10.7,NA
10.8,61
10.9,63
10.9,46
10.9,27
11,109
11,88
11.2,NA
11.3,107
11.3,131
11.3,138
11.3,23
11.4,NA
11.6,114
11.6,98
11.6,77
11.6,104
11.7,NA
11.8,63
12,56
12,NA
12.1,105
12.1,87
12.1,119
12.2,NA
12.3,82
12.4,153
12.4,69
12.5,123
12.5,166
12.8,133
12.8,121
12.8,131
12.9,156
13.3,92
13.4,102
13.4,206
13.7,171
13.8,11
13.9,231
13.9,120
14.2,216
14.4,85
14.7,NA
14.7,134
15.4,111
15.7,228
15.9,297
16.1,143
16.7,NA
17.4,202
NA,18
NA,0
NA,120
NA,21
NA,60
NA,22
NA,NA
NA,NA
NA,63
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,7
NA,15
NA,9
NA,1
NA,6
NA,21
NA,6
NA,9
