no,x,group,y
1,0.763905854,1,2
2,1.252491819,1,2
3,3.067823853,1,0
4,3.977449504,1,0
5,0.128341254,1,1
6,2.596855666,1,0
7,7.84103228,1,0
8,2.074392606,1,1
9,1.428387882,1,4
10,3.695319071,1,0
11,2.617567927,1,2
12,4.775642098,1,0
13,9.435250259,1,0
14,6.632772787,1,0
15,0.743845922,1,1
16,9.965391543,1,0
17,2.054412074,1,0
18,8.087524001,1,0
19,3.612090936,1,0
20,0.428004502,1,1
21,2.9445944,1,0
22,6.821373557,1,0
23,3.950019935,1,0
24,3.734009175,1,0
25,5.683559596,1,0
26,6.134100002,1,0
27,7.579687564,1,0
28,5.32993932,1,0
29,7.64821812,1,0
30,3.009111108,1,0
31,0.048666983,1,4
32,1.980934876,1,0
33,4.65523144,1,0
34,3.880213897,1,0
35,3.596805325,1,0
36,3.733701389,1,0
37,1.530231237,1,0
38,3.560159563,1,1
39,3.349636381,1,0
40,0.543987681,1,1
41,7.742158901,1,0
42,4.84213159,1,0
43,8.095704853,1,0
44,1.028003476,1,4
45,5.307493389,1,1
46,5.89061446,1,0
47,1.45206833,1,1
48,3.510873481,1,1
49,3.977499071,1,0
50,2.710044861,1,0
51,5.387869184,1,0
52,3.428094799,1,0
53,4.392464545,1,0
54,0.135560094,1,4
55,2.923201718,1,0
56,7.249580415,1,0
57,7.142181115,1,0
58,3.550018838,1,0
59,9.884373238,1,0
60,8.932978709,1,0
61,2.095790077,1,0
62,8.656948551,1,0
63,9.97030542,1,0
64,2.448968946,1,1
65,3.342470331,1,0
66,1.72757026,1,0
67,3.126851958,1,0
68,9.43497224,1,0
69,2.719399214,1,0
70,1.967666058,1,1
71,7.663764411,1,0
72,6.851942348,1,0
73,0.104297339,1,2
74,6.090350158,1,0
75,5.035391881,1,0
76,9.649023428,1,0
77,2.173670551,1,3
78,9.616646741,1,0
79,9.615777335,1,0
80,2.685719216,1,0
81,5.966659568,1,0
82,7.383964371,1,0
83,1.942396292,1,1
84,8.323415609,1,0
85,3.521025972,1,0
86,3.0252607,1,2
87,5.242951026,1,0
88,2.561418817,1,0
89,2.152601779,1,0
90,3.68016215,1,0
91,2.992325835,1,0
92,8.20348772,1,0
93,7.477684321,1,0
94,1.67619078,1,0
95,8.687241969,1,0
96,4.539145855,1,0
97,8.89589665,1,0
98,9.359367865,1,0
99,9.417976048,1,0
100,2.033573163,1,2
101,6.027011576,1,0
102,6.010046753,1,0
103,9.39665599,1,0
104,3.409232879,1,0
105,0.062293448,1,2
106,5.863220466,1,0
107,9.991223097,1,0
108,0.419111433,1,1
109,4.54155464,1,1
110,7.263286007,1,0
111,9.722823836,1,0
112,1.283213508,1,5
113,8.279533854,1,0
114,2.522565483,1,0
115,7.554805339,1,0
116,7.707104748,1,0
117,8.655235607,1,0
118,0.53494323,1,1
119,8.845769232,1,0
120,2.876007801,1,0
121,7.419881884,1,0
122,5.464916015,1,1
123,8.21265782,1,0
124,6.597206399,1,0
125,0.216668076,1,5
126,8.728861646,1,0
127,8.57961223,1,0
128,0.536093535,1,2
129,0.397376004,1,2
130,0.169307254,1,2
131,6.086036661,1,0
132,8.339540109,1,0
133,9.05983788,1,0
134,7.443120268,1,0
135,8.790292486,1,0
136,0.092515096,1,7
137,2.939937441,1,0
138,9.659662398,1,0
139,7.528263384,1,1
140,0.405686896,1,3
141,5.314895776,1,0
142,8.454378424,1,0
143,5.759531485,1,0
144,9.177921047,1,0
145,5.635161432,1,0
146,7.412543891,1,0
147,4.181005314,1,0
148,9.510810853,1,0
149,8.993806941,1,0
150,3.572228481,1,0
151,5.859798663,1,0
152,5.192024047,1,0
153,8.056319635,1,0
154,7.183674984,1,0
155,5.405294658,1,0
156,3.556216503,1,0
157,2.186089181,1,1
158,0.623063382,1,0
159,8.048996299,1,0
160,6.362562655,1,0
161,0.272975292,1,7
162,7.481796579,1,0
163,6.249348884,1,0
164,0.472543642,1,1
165,6.851879421,1,0
166,8.346022496,1,0
167,9.648996759,1,0
168,2.805596215,1,0
169,7.896481082,1,0
170,0.888686737,1,0
171,4.892678959,1,1
172,6.248866217,1,0
173,1.405435547,1,1
174,7.389945206,1,0
175,3.515025908,1,0
176,4.080401547,1,0
177,2.158650935,1,2
178,1.909263993,1,0
179,9.89545299,1,0
180,2.013092136,1,1
181,0.065710852,1,7
182,4.21507987,1,0
183,6.320053774,1,0
184,6.633336097,1,0
185,9.79705357,1,0
186,1.361829434,1,5
187,7.446873707,1,0
188,6.466005521,1,0
189,3.977991785,1,1
190,7.464270086,1,0
191,2.698011303,1,1
192,7.244359071,1,0
193,0.941972057,1,3
194,4.643572038,1,0
195,7.515372534,1,0
196,3.011622524,1,2
197,3.645903592,1,0
198,4.056885289,1,0
199,3.981818294,1,0
200,5.286126453,1,0
201,9.972673317,2,0
202,7.806269501,2,0
203,2.916242804,2,4
204,8.74023041,2,0
205,4.028613162,2,3
206,9.067148967,2,0
207,0.038902534,2,3
208,3.725495907,2,1
209,4.707374065,2,1
210,2.041780206,2,3
211,7.234930475,2,0
212,8.638694717,2,2
213,1.691937696,2,5
214,9.602922988,2,0
215,9.195870291,2,0
216,3.726795521,2,3
217,8.603029412,2,0
218,3.295381723,2,0
219,0.565509822,2,2
220,6.263104184,2,1
221,1.24074962,2,2
222,5.118737812,2,2
223,8.36926365,2,1
224,3.963293945,2,2
225,4.739489129,2,1
226,2.715978108,2,1
227,8.052348455,2,0
228,5.842909412,2,1
229,3.248038231,2,3
230,8.674875079,2,0
231,0.660500822,2,1
232,0.667710863,2,5
233,6.267859931,2,0
234,7.705509488,2,0
235,0.607114141,2,6
236,4.259797256,2,3
237,6.648763109,2,1
238,7.990905421,2,0
239,9.360632109,2,1
240,7.002311465,2,0
241,6.194083635,2,4
242,3.856953795,2,3
243,6.441929385,2,1
244,7.516982395,2,0
245,7.113207425,2,0
246,7.852121305,2,1
247,1.770939284,2,2
248,7.094944492,2,0
249,8.510713803,2,0
250,6.593326891,2,1
251,9.827878177,2,1
252,1.722426149,2,1
253,0.948377624,2,4
254,9.313488977,2,1
255,6.185823276,2,0
256,0.386377552,2,9
257,8.223736114,2,1
258,2.690934078,2,3
259,9.426295306,2,0
260,0.268227491,2,4
261,5.059195147,2,1
262,8.023904795,2,0
263,8.893414708,2,0
264,3.13160606,2,0
265,0.171055675,2,6
266,4.081774859,2,2
267,8.862772358,2,0
268,2.00181965,2,3
269,7.461273007,2,1
270,0.425196392,2,3
271,4.823473874,2,1
272,5.502693076,2,0
273,3.978389013,2,0
274,3.3181113,2,0
275,7.538293889,2,0
276,4.460026165,2,0
277,8.911091629,2,0
278,3.027339967,2,3
279,1.504349271,2,1
280,9.047735613,2,0
281,3.697405418,2,3
282,2.043431723,2,1
283,4.39033689,2,1
284,8.232209026,2,0
285,6.271595119,2,1
286,1.714157553,2,3
287,8.087959622,2,0
288,0.954493715,2,3
289,1.403124565,2,1
290,9.752733465,2,0
291,9.464863711,2,0
292,5.257639908,2,3
293,6.57439658,2,0
294,2.126573904,2,1
295,4.431141114,2,1
296,4.867682885,2,2
297,8.730291887,2,1
298,1.608300861,2,1
299,8.426239158,2,0
300,1.270020052,2,3
301,4.66542366,2,3
302,3.558660031,2,0
303,9.090431072,2,0
304,2.879439786,2,1
305,5.008137792,2,0
306,9.126561042,2,0
307,2.063453132,2,1
308,8.682757807,2,0
309,8.241438507,2,0
310,7.66599979,2,1
311,5.737170309,2,2
312,6.239869429,2,2
313,0.947798346,2,3
314,9.266151015,2,0
315,8.567184168,2,0
316,4.841407805,2,2
317,4.862760631,2,0
318,1.041032483,2,4
319,8.456190745,2,0
320,2.751781109,2,2
321,0.463557041,2,6
322,1.9551103,2,2
323,4.729775232,2,1
324,6.611516443,2,1
325,1.787550575,2,1
326,4.329457497,2,0
327,1.777863717,2,1
328,6.108956612,2,0
329,9.772347123,2,1
330,5.815873146,2,2
331,8.758884643,2,0
332,4.241463658,2,1
333,0.222956915,2,4
334,6.849041015,2,3
335,7.203834988,2,0
336,9.11289444,2,0
337,0.571886462,2,4
338,9.039606242,2,1
339,3.375040207,2,0
340,0.035976719,2,4
341,7.597142179,2,1
342,0.335168433,2,1
343,4.378612624,2,3
344,7.111784222,2,2
345,5.513369306,2,1
346,5.994873808,2,0
347,9.428946013,2,2
348,6.083139263,2,0
349,9.009085733,2,0
350,1.698725382,2,2
351,3.046444424,2,0
352,7.546957193,2,0
353,6.033983061,2,1
354,5.575269109,2,2
355,8.065250525,2,1
356,4.33305427,2,2
357,1.791863218,2,2
358,7.702022151,2,0
359,2.170546425,2,4
360,2.547440757,2,3
361,0.679371518,2,5
362,0.900232675,2,1
363,8.468326998,2,0
364,4.192586006,2,2
365,7.237073355,2,0
366,9.899054386,2,0
367,3.072050097,2,2
368,6.076616531,2,0
369,5.887936284,2,0
370,3.468062852,2,3
371,3.426527283,2,2
372,0.658905122,2,2
373,8.550341681,2,0
374,5.096069146,2,0
375,5.468793889,2,0
376,1.467318195,2,4
377,5.458568316,2,2
378,9.676350269,2,0
379,4.707062263,2,2
380,1.172154467,2,5
381,8.875055113,2,0
382,5.673698676,2,0
383,3.586979397,2,2
384,2.00216468,2,1
385,7.687421618,2,1
386,8.630911233,2,0
387,7.236533435,2,0
388,1.018047957,2,3
389,9.118013228,2,1
390,8.278238548,2,0
391,0.630225071,2,1
392,1.173196363,2,1
393,8.468045008,2,2
394,4.100968002,2,1
395,3.552023293,2,1
396,5.995581648,2,1
397,2.865749479,2,6
398,0.48157407,2,2
399,6.848370351,2,0
400,6.609652848,2,1
